Epoch 003/020 | Batch 01300/02417 | LR 0.0008464 | Loss 0.0621 | Acc 0.9804
Epoch 003/020 | Batch 01400/02417 | LR 0.0008464 | Loss 0.0621 | Acc 0.9804
Epoch 003/020 | Batch 01500/02417 | LR 0.0008464 | Loss 0.0620 | Acc 0.9805
Epoch 003/020 | Batch 01600/02417 | LR 0.0008464 | Loss 0.0619 | Acc 0.9805
Epoch 003/020 | Batch 01700/02417 | LR 0.0008464 | Loss 0.0618 | Acc 0.9805
Epoch 003/020 | Batch 01800/02417 | LR 0.0008464 | Loss 0.0617 | Acc 0.9805
Epoch 003/020 | Batch 01900/02417 | LR 0.0008464 | Loss 0.0616 | Acc 0.9806
Epoch 003/020 | Batch 02000/02417 | LR 0.0008464 | Loss 0.0615 | Acc 0.9806
Epoch 003/020 | Batch 02100/02417 | LR 0.0008464 | Loss 0.0614 | Acc 0.9806
Epoch 003/020 | Batch 02200/02417 | LR 0.0008464 | Loss 0.0613 | Acc 0.9806
Epoch 003/020 | Batch 02300/02417 | LR 0.0008464 | Loss 0.0612 | Acc 0.9807
Epoch 003/020 | Batch 02400/02417 | LR 0.0008464 | Loss 0.0612 | Acc 0.9807
Epoch 003/020 | Batch 02417/02417 | LR 0.0008464 | Loss 0.0612 | Acc 0.9807
Epoch 003 done in 9.8 min | Val Loss 0.0630 | Val Acc 0.9801 | Saved checkpoints_infinity/infinity_epoch_003.npz
Epoch 004/020 | Batch 00100/02417 | LR 0.000778688 | Loss 0.0522 | Acc 0.9836
Epoch 004/020 | Batch 00200/02417 | LR 0.000778688 | Loss 0.0527 | Acc 0.9834
Epoch 004/020 | Batch 00300/02417 | LR 0.000778688 | Loss 0.0526 | Acc 0.9834
Epoch 004/020 | Batch 00400/02417 | LR 0.000778688 | Loss 0.0526 | Acc 0.9834
Epoch 004/020 | Batch 00500/02417 | LR 0.000778688 | Loss 0.0529 | Acc 0.9832
Epoch 004/020 | Batch 00600/02417 | LR 0.000778688 | Loss 0.0530 | Acc 0.9832
Epoch 004/020 | Batch 00700/02417 | LR 0.000778688 | Loss 0.0530 | Acc 0.9832
Epoch 004/020 | Batch 00800/02417 | LR 0.000778688 | Loss 0.0531 | Acc 0.9832
Epoch 004/020 | Batch 00900/02417 | LR 0.000778688 | Loss 0.0531 | Acc 0.9832
Epoch 004/020 | Batch 01000/02417 | LR 0.000778688 | Loss 0.0531 | Acc 0.9832
Epoch 004/020 | Batch 01100/02417 | LR 0.000778688 | Loss 0.0532 | Acc 0.9832
Epoch 004/020 | Batch 01200/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01300/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01400/02417 | LR 0.000778688 | Loss 0.0532 | Acc 0.9831
Epoch 004/020 | Batch 01500/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01600/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01700/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01800/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 01900/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 02000/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9831
Epoch 004/020 | Batch 02100/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9832
Epoch 004/020 | Batch 02200/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9832
Epoch 004/020 | Batch 02300/02417 | LR 0.000778688 | Loss 0.0533 | Acc 0.9832
Epoch 004/020 | Batch 02400/02417 | LR 0.000778688 | Loss 0.0532 | Acc 0.9832
Epoch 004/020 | Batch 02417/02417 | LR 0.000778688 | Loss 0.0532 | Acc 0.9832
Epoch 004 done in 13.3 min | Val Loss 0.0571 | Val Acc 0.9826 | Saved checkpoints_infinity/infinity_epoch_004.npz
Epoch 005/020 | Batch 00100/02417 | LR 0.000716393 | Loss 0.0469 | Acc 0.9853
Epoch 005/020 | Batch 00200/02417 | LR 0.000716393 | Loss 0.0465 | Acc 0.9854
Epoch 005/020 | Batch 00300/02417 | LR 0.000716393 | Loss 0.0462 | Acc 0.9854
Epoch 005/020 | Batch 00400/02417 | LR 0.000716393 | Loss 0.0466 | Acc 0.9852
Epoch 005/020 | Batch 00500/02417 | LR 0.000716393 | Loss 0.0467 | Acc 0.9852
Epoch 005/020 | Batch 00600/02417 | LR 0.000716393 | Loss 0.0469 | Acc 0.9852
Epoch 005/020 | Batch 00700/02417 | LR 0.000716393 | Loss 0.0470 | Acc 0.9851
Epoch 005/020 | Batch 00800/02417 | LR 0.000716393 | Loss 0.0471 | Acc 0.9851
Epoch 005/020 | Batch 00900/02417 | LR 0.000716393 | Loss 0.0471 | Acc 0.9851
Epoch 005/020 | Batch 01000/02417 | LR 0.000716393 | Loss 0.0472 | Acc 0.9851
Epoch 005/020 | Batch 01100/02417 | LR 0.000716393 | Loss 0.0472 | Acc 0.9851
Epoch 005/020 | Batch 01200/02417 | LR 0.000716393 | Loss 0.0472 | Acc 0.9850
Epoch 005/020 | Batch 01300/02417 | LR 0.000716393 | Loss 0.0473 | Acc 0.9850
Epoch 005/020 | Batch 01400/02417 | LR 0.000716393 | Loss 0.0474 | Acc 0.9850
Epoch 005/020 | Batch 01500/02417 | LR 0.000716393 | Loss 0.0475 | Acc 0.9849
Epoch 005/020 | Batch 01600/02417 | LR 0.000716393 | Loss 0.0475 | Acc 0.9849
Epoch 005/020 | Batch 01700/02417 | LR 0.000716393 | Loss 0.0476 | Acc 0.9849
Epoch 005/020 | Batch 01800/02417 | LR 0.000716393 | Loss 0.0475 | Acc 0.9849
Epoch 005/020 | Batch 01900/02417 | LR 0.000716393 | Loss 0.0476 | Acc 0.9849
Epoch 005/020 | Batch 02000/02417 | LR 0.000716393 | Loss 0.0477 | Acc 0.9849
Epoch 005/020 | Batch 02100/02417 | LR 0.000716393 | Loss 0.0476 | Acc 0.9849
Epoch 005/020 | Batch 02200/02417 | LR 0.000716393 | Loss 0.0477 | Acc 0.9849
Epoch 005/020 | Batch 02300/02417 | LR 0.000716393 | Loss 0.0477 | Acc 0.9849
Epoch 005/020 | Batch 02400/02417 | LR 0.000716393 | Loss 0.0478 | Acc 0.9849
Epoch 005/020 | Batch 02417/02417 | LR 0.000716393 | Loss 0.0478 | Acc 0.9849
Epoch 005 done in 15.3 min | Val Loss 0.0530 | Val Acc 0.9836 | Saved checkpoints_infinity/infinity_epoch_005.npz
Epoch 006/020 | Batch 00100/02417 | LR 0.000659082 | Loss 0.0418 | Acc 0.9865
Epoch 006/020 | Batch 00200/02417 | LR 0.000659082 | Loss 0.0415 | Acc 0.9867
Epoch 006/020 | Batch 00300/02417 | LR 0.000659082 | Loss 0.0418 | Acc 0.9867
Epoch 006/020 | Batch 00400/02417 | LR 0.000659082 | Loss 0.0421 | Acc 0.9865
Epoch 006/020 | Batch 00500/02417 | LR 0.000659082 | Loss 0.0422 | Acc 0.9865
Epoch 006/020 | Batch 00600/02417 | LR 0.000659082 | Loss 0.0423 | Acc 0.9865
Epoch 006/020 | Batch 00700/02417 | LR 0.000659082 | Loss 0.0425 | Acc 0.9864
Epoch 006/020 | Batch 00800/02417 | LR 0.000659082 | Loss 0.0426 | Acc 0.9864
Epoch 006/020 | Batch 00900/02417 | LR 0.000659082 | Loss 0.0427 | Acc 0.9864
Epoch 006/020 | Batch 01000/02417 | LR 0.000659082 | Loss 0.0428 | Acc 0.9864
Epoch 006/020 | Batch 01100/02417 | LR 0.000659082 | Loss 0.0430 | Acc 0.9863
Epoch 006/020 | Batch 01200/02417 | LR 0.000659082 | Loss 0.0431 | Acc 0.9863
Epoch 006/020 | Batch 01300/02417 | LR 0.000659082 | Loss 0.0431 | Acc 0.9863
Epoch 006/020 | Batch 01400/02417 | LR 0.000659082 | Loss 0.0432 | Acc 0.9863
Epoch 006/020 | Batch 01500/02417 | LR 0.000659082 | Loss 0.0432 | Acc 0.9863
Epoch 006/020 | Batch 01600/02417 | LR 0.000659082 | Loss 0.0433 | Acc 0.9863
Epoch 006/020 | Batch 01700/02417 | LR 0.000659082 | Loss 0.0432 | Acc 0.9863
Epoch 006/020 | Batch 01800/02417 | LR 0.000659082 | Loss 0.0433 | Acc 0.9862
Epoch 006/020 | Batch 01900/02417 | LR 0.000659082 | Loss 0.0434 | Acc 0.9862
Epoch 006/020 | Batch 02000/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
Epoch 006/020 | Batch 02100/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
Epoch 006/020 | Batch 02200/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
Epoch 006/020 | Batch 02300/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
Epoch 006/020 | Batch 02400/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
